SRC_WELL	DEST_CONTAINER_INDEX	DEST_WELL
A:1	1	1:1
B:1	2	1:1
C:1	3	1:1
D:1	4	1:1
E:1	5	1:1
F:1	6	1:1
G:1	7	1:1
H:1	8	1:1
A:2	9	1:1
B:2	10	1:1
C:2	11	1:1
D:2	12	1:1
E:2	13	1:1
F:2	14	1:1
G:2	15	1:1
H:2	16	1:1
A:3	17	1:1
B:3	18	1:1
C:3	19	1:1
D:3	20	1:1
E:3	21	1:1
F:3	22	1:1
G:3	23	1:1
H:3	24	1:1
A:4	25	1:1
B:4	26	1:1
C:4	27	1:1
D:4	28	1:1
E:4	29	1:1
F:4	30	1:1
G:4	31	1:1
H:4	32	1:1
A:5	33	1:1
B:5	34	1:1
C:5	35	1:1
D:5	36	1:1
E:5	37	1:1
F:5	38	1:1
G:5	39	1:1
H:5	40	1:1
A:6	41	1:1
B:6	42	1:1
C:6	43	1:1
D:6	44	1:1
E:6	45	1:1
F:6	46	1:1
G:6	47	1:1
H:6	48	1:1
A:7	49	1:1
B:7	50	1:1
C:7	51	1:1
D:7	52	1:1
E:7	53	1:1
F:7	54	1:1
G:7	55	1:1
H:7	56	1:1
A:8	57	1:1
B:8	58	1:1
C:8	59	1:1
D:8	60	1:1
E:8	61	1:1
F:8	62	1:1
G:8	63	1:1
H:8	64	1:1
A:9	65	1:1
B:9	66	1:1
C:9	67	1:1
D:9	68	1:1
E:9	69	1:1
F:9	70	1:1
G:9	71	1:1
H:9	72	1:1
A:10	73	1:1
B:10	74	1:1
C:10	75	1:1
D:10	76	1:1
E:10	77	1:1
F:10	78	1:1
G:10	79	1:1
H:10	80	1:1
A:11	81	1:1
B:11	82	1:1
C:11	83	1:1
D:11	84	1:1
E:11	85	1:1
F:11	86	1:1
G:11	87	1:1
H:11	88	1:1
A:12	89	1:1
B:12	90	1:1
C:12	91	1:1
D:12	92	1:1
E:12	93	1:1
F:12	94	1:1
G:12	95	1:1
H:12	96	1:1
